Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Trondheim - Voll;SN68860;18.01.2023 15:00;-1,6
Trondheim - Voll;SN68860;18.01.2023 16:00;-1,9
Trondheim - Voll;SN68860;18.01.2023 17:00;-3
Trondheim - Voll;SN68860;18.01.2023 18:00;-2
Trondheim - Voll;SN68860;18.01.2023 19:00;-3,8
Trondheim - Voll;SN68860;18.01.2023 20:00;-3,4
Trondheim - Voll;SN68860;18.01.2023 21:00;-2,9
Trondheim - Voll;SN68860;18.01.2023 22:00;-3,1
Trondheim - Voll;SN68860;18.01.2023 23:00;-3,5
Trondheim - Voll;SN68860;19.01.2023 00:00;-2,8
Trondheim - Voll;SN68860;19.01.2023 01:00;-3,2
Trondheim - Voll;SN68860;19.01.2023 02:00;-2,3
Trondheim - Voll;SN68860;19.01.2023 03:00;-2
Trondheim - Voll;SN68860;19.01.2023 04:00;-2,2
Trondheim - Voll;SN68860;19.01.2023 05:00;-2,7
Trondheim - Voll;SN68860;19.01.2023 06:00;-1
Trondheim - Voll;SN68860;19.01.2023 07:00;-0,9
Trondheim - Voll;SN68860;19.01.2023 08:00;-2,1
Trondheim - Voll;SN68860;19.01.2023 09:00;-2,1
Trondheim - Voll;SN68860;19.01.2023 10:00;-3,1
Trondheim - Voll;SN68860;19.01.2023 11:00;-3,5
Trondheim - Voll;SN68860;19.01.2023 12:00;-3,1
Trondheim - Voll;SN68860;19.01.2023 13:00;-2,6
Trondheim - Voll;SN68860;19.01.2023 14:00;-3
Trondheim - Voll;SN68860;19.01.2023 15:00;-3,3
Trondheim - Voll;SN68860;19.01.2023 16:00;-3,6
Trondheim - Voll;SN68860;19.01.2023 17:00;-3,3
Trondheim - Voll;SN68860;19.01.2023 18:00;-3,5
Trondheim - Voll;SN68860;19.01.2023 19:00;-3,6
Trondheim - Voll;SN68860;19.01.2023 20:00;-4,1
Trondheim - Voll;SN68860;19.01.2023 21:00;-4,6
Trondheim - Voll;SN68860;19.01.2023 22:00;-4,5
